ccode1,ccode2,year,cap_1,cap_2,pol_rel,tau_regi,tau_glob,s_wt_reg,s_wt_glo,alliance,contig_type,colcont_type,colony1,colony2,mzongo,mzongonm,mzinit,mzinitnm,mzhost1,mzhost2,mzkeynum,mzorig1,mzorig2,mzjoanyi,mzjoanyt,mzjomidi,mzjomidt,pcyrs,polity1,polity2,polity21,polity22,cccc,dyad,dyadyear,maxinit,contig,colcont,dem1,dem2,trans1,trans2,aut1,aut2,demdem,demaut,autdem,demtrans,transdem,auttrans,transaut,capshare,cowcivwar1,cowcivwar2,uppcivwar1,uppcivwar2,uppcivcon1,uppcivcon2,uppcivwar,flcivwar1,flcivwar2,igos,expab,impab,expba,impba,exp12,imp12,exp21,imp21,gdp1,gdp2,depend1,depend2,pcyrs1,pcyrs2,pcyrs3,mzinit_lead,lpcyrs,lpcyrs1,lpcyrs2,lpcyrs3,transtrans,cowcivwar,uppcivcon,flcivwar,refugee1,refugee2,logref1,logref2,refflow1,refflow2,logflow1,logflow2,civwar1,civwar2,logref1_lag,logref2_lag
2,160,2001,0.149702,0.006102,1,,,,,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,10,8,10,8,2160,2160,21602001,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0.9608354,,,1,0,1,0,1,0,0,,,,,,,,,,9997884,269014.66,,,-310892.75,-795403.75,-1342845.5,,,,,,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,165,2001,0.149702,0.000551,1,,,,,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,10,10,10,10,2165,2165,21652001,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0.9963328,,,1,0,1,0,1,0,0,,,,,,,,,,9997884,18600.838,,,-187608.25,-469098.5,-761329.1,,,,,,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,200,2001,0.149702,0.023008,1,,,,,,6,2,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,60,10,10,10,10,2200,2200,22002001,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0.8667825,,,1,0,1,0,1,0,0,,,,,,,,,,9997884,1429936,,,-51530.594,-116644.34,-158726.7,,,,,,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,205,2001,0.149702,0.000662,1,,,,,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,10,10,10,10,2205,2205,22052001,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0.99559736,,,1,0,1,0,1,0,0,,,,,,,,,,9997884,103002.07,,,-88031.53,-209404.72,-311301.44,,,,,,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,210,2001,0.149702,0.00544,1,,,,,,6,4,5,68,0,0,0,0,0,0,0,0,0,0,0,0,0,56,10,10,10,10,2210,2210,22102001,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0.96493536,,,1,0,1,0,1,0,0,,,,,,,,,,9997884,384003.6,,,-44920.344,-100159.31,-132692.62,,,,,,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,211,2001,0.149702,0.004518,1,,,,,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,10,10,10,10,2211,2211,22112001,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0.9707042,,,1,0,1,0,1,0,0,,,,,,,,,,9997884,227007.64,,,-44920.344,-100159.31,-132692.62,,,,,,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,212,2001,0.149702,0.000648,1,,,,,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,10,,10,,2212,2212,22122001,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0.99569005,,,1,0,1,0,1,0,0,,,,,,,,,,9997884,19698.748,,,-46535.734,-104175.266,-138990.53,,,,,,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,220,2001,0.149702,0.01996,1,,,,,,6,4,5,65,0,0,0,0,0,0,0,0,0,0,0,0,0,56,10,9,10,9,2220,2220,22202001,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0.8823543,,,1,0,1,0,1,0,0,,,,,,,,,,9997884,1320145,,,-44920.344,-100159.31,-132692.62,,,,,,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,221,2001,0.149702,0.000004,1,,,,,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,,10,,2221,2221,22212001,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0.9999733,,,1,0,1,0,1,0,0,,,,,,,,,,9997884,,,,-487.3946,-464.95135,-417.9027,,,,,,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,223,2001,0.149702,0.000001,1,,,,,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,,10,,2223,2223,22232001,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0.9999933,,,1,0,1,0,1,0,0,,,,,,,,,,9997884,,,,-1162.8324,-1208.6919,-1086.3838,,,,,,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,225,2001,0.149702,0.001759,1,,,,,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,10,10,10,10,2225,2225,22252001,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0.98838645,,,1,0,1,0,1,0,0,,,,,,,,,,9997884,250981.36,,,-23810.727,-48763.72,-55911.438,,,,,,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,230,2001,0.149702,0.010568,1,,,,,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,10,10,10,10,2230,2230,22302001,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0.9340613,,,1,0,1,0,1,0,0,,,,,,,,,,9997884,585022.06,,,-142054.44,-349566.56,-551743.2,,,,,,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,232,2001,0.149702,0.000002,1,,,,,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,,10,,2232,2232,22322001,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0.99998665,,,1,0,1,0,1,0,0,,,,,,,,,,9997884,964.78253,,,-487.3946,-464.95135,-417.9027,,,,,,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,235,2001,0.149702,0.001708,1,,,,,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,10,10,10,10,2235,2235,22352001,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0.98871934,,,1,0,1,0,1,0,0,,,,,,,,,,9997884,110003.24,,,-390936,-1008168,-1725024,,,,,,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,255,2001,0.149702,0.027985,1,,,,,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,10,10,10,2255,2255,22552001,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0.84250396,,,1,0,1,0,1,0,0,,,,,,,,,,9997884,,,,-1162.8324,-1208.6919,-1086.3838,,,,,,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,290,2001,0.149702,0.008194,1,,,,,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,10,9,10,9,2290,2290,22902001,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0.9481051,,,1,0,1,0,1,0,0,,,,,,,,,,9997884,186008.38,,,-21458.14,-43220.066,-48292.13,,,,,,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,305,2001,0.149702,0.002703,1,,,,,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,10,10,10,10,2305,2305,23052001,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0.98226434,,,1,0,1,0,1,0,0,,,,,,,,,,9997884,189986.31,,,-22620.324,-45951.918,-52021.836,,,,,,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,310,2001,0.149702,0.001926,1,,,,,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,10,10,10,10,2310,2310,23102001,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0.98729783,,,1,0,1,0,1,0,0,,,,,,,,,,9997884,51798.055,,,-34326.36,-74070.01,-92652.02,,,,,,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,316,2001,0.149702,0.003198,1,,,,,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,10,10,10,2316,2316,23162001,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0.9790844,,,1,0,1,0,1,0,0,,,,,,,,,,9997884,60888.97,,,-487.3946,-464.95135,-417.9027,,,,,,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,317,2001,0.149702,0.001776,1,,,,,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,9,10,9,2317,2317,23172001,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0.9882755,,,1,0,1,0,1,0,0,,,,,,,,,,9997884,20897.434,,,-487.3946,-464.95135,-417.9027,,,,,,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,325,2001,0.149702,0.017823,1,,,,,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,10,10,10,10,2325,2325,23252001,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0.8936099,,,1,0,1,0,1,0,0,,,,,,,,,,9997884,1089955,,,-46535.734,-104175.266,-138990.53,,,,,,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,331,2001,0.149702,0.000002,1,,,,,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,,10,,2331,2331,23312001,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0.99998665,,,1,0,1,0,1,0,0,,,,,,,,,,9997884,,,,-678.35675,-662.0108,-595.0216,,,,,,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,338,2001,0.149702,0.000043,1,,,,,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,10,,10,,2338,2338,23382001,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0.9997128,,,1,0,1,0,1,0,0,,,,,,,,,,9997884,3829.9585,,,-19219.2,-37998.4,-41316.8,,,,,,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,339,2001,0.149702,0.000375,1,,,,,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,10,5,10,5,2339,2339,23392001,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0.99750125,,,1,0,1,0,1,0,0,,,,,,,,,,9997884,4250.029,,,-25029.148,-51654.914,-59959.83,,,,,,0,,1,0,0,0,0,0,0,0,0,0,0,0,1.5149075,0
2,343,2001,0.149702,0.000324,1,,,,,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,6,10,6,2343,2343,23432001,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0.99784034,,,1,0,1,1,1,0,0,,,,,,,,,,9997884,3440.1206,,,-487.3946,-464.95135,-417.9027,,,,,,0,,3,0,0,0,0,0,0,0,0,0,0,0,0,0
