WUSTLID,White,Black,Asian,Education,Income,Ideology,Female,GOP,Democrat,Age,HowManyKids,FT.Communists,InterviewDuration,LookedAtEclipse,StolenStreetSign,StealShampoo,BeesOrBear,RunOutOfGas,weights
990689,1,0,0,13,8,1,0,0,1,68,0,7,22,0,0,0,0,0,0.27
990690,0,1,0,9,1,1,1,0,1,45,3,3,29,0,1,0,0,1,7.38
990696,0,1,0,12,6,3,1,0,1,44,0,3,6204,,0,1,0,0,0.74
990700,1,0,0,11,11,3,0,0,0,65,0,7,1354,0,0,1,0,0,0.99
990703,1,0,0,12,6,6,0,1,0,79,0,2,108,1,0,1,0,0,0.13
990705,1,0,0,12,10,5,1,1,0,36,2,4,71,0,0,0,1,0,0.13
990709,0,1,0,10,5,2,1,0,1,32,4,7,8142,0,0,1,,1,0.6
990711,1,0,0,9,7,4,0,0,1,77,0,2,50,0,0,1,0,0,1.82
990737,1,0,0,13,1,3,1,0,1,62,0,5,53,0,0,1,1,0,0.13
990740,1,0,0,13,2,2,1,0,0,75,0,2,75,0,0,0,0,0,0.13
990767,1,0,0,9,3,4,0,0,0,51,0,2,40,0,0,1,,0,0.49
990773,1,0,0,10,4,2,1,0,1,74,0,7,22,0,0,1,,0,0.45
990783,1,0,0,10,3,1,1,0,1,84,0,2,55,0,0,0,0,,0.07
990784,0,0,1,15,8,2,1,0,1,37,1,7,5031,0,0,1,,0,2.37
990802,1,0,0,10,5,4,0,0,0,53,2,6,40,0,1,1,0,0,2.7
990966,1,0,0,13,12,6,0,1,0,59,1,2,30,0,0,0,0,0,1.5
990970,1,0,0,12,6,3,0,0,0,33,0,2,22,0,0,1,0,0,0.94
990974,1,0,0,9,6,6,0,0,1,84,0,3,90,0,0,1,0,0,1.23
990978,1,0,0,9,6,8,1,1,0,81,0,2,26,0,0,1,0,0,0.88
990981,1,0,0,13,13,5,1,1,0,54,2,2,13,0,0,1,0,0,0.36
990984,0,1,0,9,1,7,1,0,0,54,1,10,17,0,0,0,1,0,7.38
990987,1,0,0,13,3,8,1,0,1,63,0,2,30,0,0,1,,0,0.12
990992,1,0,0,12,11,5,0,0,1,75,0,7,29,0,0,1,0,0,0.13
990993,1,0,0,13,8,2,1,0,1,61,0,3,34,0,0,1,0,0,0.48
990995,1,0,0,9,6,3,1,0,1,39,0,7,124,0,0,1,0,0,3.62
990997,0,1,0,10,4,3,0,0,1,67,0,5,40,1,0,1,,0,0.46
990998,1,0,0,11,7,6,0,1,0,39,0,2,26,1,0,0,0,0,1.54
991002,1,0,0,12,8,6,0,1,0,56,1,2,31,0,0,1,1,0,0.49
991004,1,0,0,12,2,7,1,0,0,52,1,2,2758,0,0,1,1,0,0.06
991006,1,0,0,10,2,4,1,0,0,66,0,2,270,0,0,1,0,0,0.06
991007,0,0,0,9,7,4,0,0,0,47,0,4,36,0,0,1,1,0,2.08
991008,1,0,0,10,12,2,1,0,1,69,0,3,22,0,0,1,1,0,1.18
991010,1,0,0,13,8,5,0,1,0,77,0,3,34,0,1,1,0,0,0.61
991021,1,0,0,13,5,2,1,0,1,61,0,4,26,0,0,1,,0,0.09
991022,1,0,0,9,5,6,0,1,0,94,0,7,30,0,0,0,,0,0.67
991024,1,0,0,13,9,5,1,1,0,47,0,2,17,0,0,1,0,1,0.73
991025,1,0,0,10,3,5,1,0,1,59,0,2,31,0,0,1,0,0,0.06
991027,0,0,0,9,2,8,0,0,0,59,0,2,40,0,0,0,0,0,7.38
