ID,VotedFor,PresVote,PartyID,Age,FamIncome,Female,White,FT.Bush,FT.Clinton,FT.Perot
3708,Perot,3,3,34,19,1,White,60,85,30
3709,Bush,1,4,61,10,1,Non-White,70,60,50
3710,Bush,1,4,36,8,0,White,60,40,40
3712,Bush,1,7,41,21,0,White,85,30,40
3715,Perot,3,2,70,13,1,White,60,70,40
3716,Bush,1,7,31,18,0,Non-White,70,60,85
3718,Bush,1,7,38,20,0,White,60,40,40
3719,Bush,1,6,55,3,0,Non-White,50,50,50
3720,Clinton,2,1,58,16,0,White,50,70,30
3721,Bush,1,2,36,20,1,White,50,50,0
3724,Perot,3,6,72,18,0,White,70,40,85
3728,Bush,1,7,78,11,1,White,100,40,40
3729,Bush,1,1,28,21,1,White,60,85,50
3731,Perot,3,5,32,21,1,White,15,15,60
3732,Clinton,2,1,65,3,0,White,30,50,15
3733,Perot,3,6,35,21,0,White,40,15,60
3734,Bush,1,5,34,21,0,White,85,85,40
3735,Bush,1,7,41,21,1,White,100,0,30
3736,Bush,1,5,48,22,1,Non-White,85,50,100
3737,Clinton,2,6,33,18,0,White,15,60,50
3739,Perot,3,5,51,20,0,White,60,50,40
3741,Clinton,2,1,49,12,1,White,40,60,0
3742,Perot,3,5,25,21,1,White,85,70,85
3745,Clinton,2,4,35,23,1,White,40,60,60
3746,Clinton,2,4,36,12,0,White,49,50,40
3747,Perot,3,5,21,15,1,White,60,70,70
3748,Perot,3,2,52,17,0,White,40,40,10
3749,Perot,3,6,38,16,0,White,85,30,60
3751,Clinton,2,2,18,4,1,White,0,60,0
3752,Clinton,2,2,33,14,1,White,85,40,50
3753,Clinton,2,2,44,23,0,White,30,70,70
3754,Clinton,2,1,54,18,1,White,50,70,30
3755,Bush,1,5,62,21,0,White,85,30,50
3757,Clinton,2,2,38,15,0,White,50,70,55
3758,Clinton,2,3,35,11,1,White,30,70,60
3759,Clinton,2,4,41,17,0,White,60,60,0
3761,Bush,1,7,27,18,0,White,90,0,50
3762,Bush,1,7,33,23,1,White,85,60,40
3763,Clinton,2,6,59,24,0,Non-White,30,60,50
3764,Clinton,2,1,33,14,0,Non-White,40,70,85
3766,Bush,1,7,51,24,0,White,100,60,0
3769,Clinton,2,2,68,19,0,White,60,70,0
3770,Bush,1,6,24,13,0,White,60,50,30
3771,Clinton,2,1,72,21,1,White,0,85,0
3772,Perot,3,6,26,16,0,Non-White,60,40,60
3773,Bush,1,6,71,19,1,White,85,30,40
3774,Bush,1,7,31,16,1,White,85,0,40
3775,Bush,1,6,37,21,0,White,60,15,15
3777,Clinton,2,5,31,16,1,White,60,70,0
3778,Bush,1,7,36,21,0,White,85,50,50
3779,Clinton,2,5,33,19,1,White,70,60,15
3781,Clinton,2,3,71,16,1,White,0,85,85
3783,Clinton,2,3,50,24,1,White,40,65,40
3784,Perot,3,7,66,18,1,White,0,50,100
3785,Perot,3,7,29,15,0,White,85,40,60
3786,Bush,1,6,67,12,1,White,60,40,50
3787,Clinton,2,1,61,21,0,White,15,70,60
3789,Clinton,2,2,47,22,1,White,15,70,50
3791,Bush,1,7,30,21,1,White,85,30,30
3792,Clinton,2,1,33,18,0,Non-White,40,50,15
3794,Bush,1,5,35,16,1,White,70,40,50
3796,Clinton,2,2,31,21,1,White,50,50,50
3797,Perot,3,2,20,18,0,White,60,40,60
3798,Clinton,2,6,52,22,0,White,0,50,0
3799,Bush,1,6,26,20,1,White,70,0,60
3800,Perot,3,7,35,24,0,White,60,30,85
3801,Clinton,2,4,42,23,0,Non-White,0,70,0
3802,Bush,1,7,23,20,0,White,85,15,50
3803,Perot,3,3,26,16,0,White,60,70,70
3806,Clinton,2,1,78,5,0,White,15,85,0
3807,Bush,1,5,33,16,1,White,85,30,50
3808,Clinton,2,5,21,18,0,White,50,60,70
3809,Clinton,2,2,25,8,0,White,30,70,60
3810,Clinton,2,5,42,24,0,White,60,60,50
3811,Clinton,2,2,40,18,1,White,30,60,30
